file_name,invoice_no,date,seller,iban,client,total_net_worth,vat,vat_rate,total_gross_worth
invoice_2_charspace_3-0.pdf,"89946798
",,"Martinez-Hughes
7144 Tina Divide
New Natalieville, IN 98692
",,"Santos PLC
Unit 0191 Box 9692
DPO AE 38538
","3 149,88
","314,99
","10%
","3 464,87
"
invoice_1_charspace_2-0.pdf,"34606406
",,"Coleman-Burns
562 Santiago Crescent
Lake Williammouth, NE 27454
Tax Id: 948-75-1986
",,"Chapman, Blankenship and Pearson
35662 Williams Streets Apt. 855
Morrisland, MS 48523
","2 170,93
","217,09
","10%
","2 388,02
"
invoice_4_charspace_5-0.pdf,"33200744
",,"Boyer LLC
799 Schultz Green Apt. 688
Sarahtown, NC 31002
",,"Terry, Johnson and Baldwin
400 Emily Lake Suite 415
North Marcusview, VT 75632
","40,14
","4,01
","10%
","44,15
$ 44,15
"
invoice_4_charspace_5-0.pdf,"33200744
",,"Boyer LLC
799 Schultz Green Apt. 688
Sarahtown, NC 31002
",,"Terry, Johnson and Baldwin
400 Emily Lake Suite 415
North Marcusview, VT 75632
","40,14
","4,01
","10%
","44,15
$ 44,15
"
invoice_3_charspace_4-0.pdf,"61890427
",,"Grant, Green and Mathews
030 Miller Lock
East Robert, NY 99396
",,"Williams-Russell
11834 Elizabeth Orchard
Loveburgh, OH 67733
","VAT [%]
10%
111,95
Total
$ 111,95
","11,20
","10%
",
invoice_0_charspace_1-0.pdf,"12060439
","08/29/2020
","Brown-Johnson
310 Amanda Corner Suite 472
North William, MN 33119
",,"Calderon-Duran
9884 Roberts Tunnel
North Lindaside, VA 02674
","8 591,16
","859,12
","10%
","9 450,28
"
invoice_4_charspace_5-0.pdf,"33200744
",,"Boyer LLC
799 Schultz Green Apt. 688
Sarahtown, NC 31002
",,"Terry, Johnson and Baldwin
400 Emily Lake Suite 415
North Marcusview, VT 75632
","40,14
","4,01
","10%
","44,15
$ 44,15
"
invoice_4_charspace_5-0.pdf,"33200744
",,"Boyer LLC
799 Schultz Green Apt. 688
Sarahtown, NC 31002
",,"Terry, Johnson and Baldwin
400 Emily Lake Suite 415
North Marcusview, VT 75632
","40,14
","4,01
","10%
","44,15
$ 44,15
"
invoice_0_charspace_1-0.pdf,"12060439
","08/29/2020
","Brown-Johnson
310 Amanda Corner Suite 472
North William, MN 33119
",,"Calderon-Duran
9884 Roberts Tunnel
North Lindaside, VA 02674
","8 591,16
","859,12
","10%
","9 450,28
"
invoice_2_charspace_3-0.pdf,"89946798
",,"Martinez-Hughes
7144 Tina Divide
New Natalieville, IN 98692
",,"Santos PLC
Unit 0191 Box 9692
DPO AE 38538
","3 149,88
","314,99
","10%
","3 464,87
"
invoice_1_charspace_2-0.pdf,"34606406
",,"Coleman-Burns
562 Santiago Crescent
Lake Williammouth, NE 27454
Tax Id: 948-75-1986
",,"Chapman, Blankenship and Pearson
35662 Williams Streets Apt. 855
Morrisland, MS 48523
","2 170,93
","217,09
","10%
","2 388,02
"
